Transaction_ID,Date,Customer_ID,Product_Category,Region,Revenue,Units_Sold,Discount_Percent,Profit
TX1001,2024-01-05,CUST-881,Electronics,North,1250.00,2,5.0,250.00
TX1002,2024-01-06,CUST-412,Apparel,South,450.50,5,10.0,90.10
TX1003,2024-01-07,CUST-903,Home & Kitchen,West,890.00,3,0.0,178.00
TX1004,2024-01-08,CUST-115,Electronics,East,2100.00,4,15.0,420.00
TX1005,2024-01-09,CUST-632,Beauty,North,320.00,2,5.0,64.00
TX1006,2024-01-10,CUST-204,Apparel,South,620.00,4,8.0,124.00
TX1007,2024-01-11,CUST-551,Electronics,West,1750.00,3,12.0,350.00
TX1008,2024-01-12,CUST-789,Home & Kitchen,East,1150.00,5,5.0,230.00
TX1009,2024-01-13,CUST-334,Beauty,South,290.00,1,0.0,58.00
TX1010,2024-01-14,CUST-992,Electronics,North,3400.00,6,20.0,680.00
TX1011,2024-01-15,CUST-102,Apparel,East,510.00,3,5.0,102.00
TX1012,2024-01-16,CUST-445,Home & Kitchen,West,980.00,4,10.0,196.00
TX1013,2024-01-17,CUST-811,Electronics,South,1900.00,2,0.0,380.00
TX1014,2024-01-18,CUST-273,Beauty,North,410.00,3,15.0,82.00
TX1015,2024-01-19,CUST-664,Apparel,West,780.00,5,10.0,156.00
TX1016,2024-01-20,CUST-521,Electronics,East,2850.00,5,8.0,570.00
TX1017,2024-01-21,CUST-309,Home & Kitchen,South,1350.00,6,5.0,270.00
TX1018,2024-01-22,CUST-742,Beauty,North,220.00,1,0.0,44.00
TX1019,2024-01-23,CUST-188,Electronics,West,3100.00,4,12.0,620.00
TX1020,2024-01-24,CUST-954,Apparel,East,840.00,4,5.0,168.00
