Timestamp,Sensor_ID,Temperature_C,Humidity_Percent,Pressure_hPa,Vibration_mm_s,Status
2024-03-01 00:00:00,SNSR-A1,22.4,55.2,1013.25,0.12,Normal
2024-03-01 01:00:00,SNSR-A1,22.8,54.8,1013.20,0.14,Normal
2024-03-01 02:00:00,SNSR-A1,23.1,56.0,1012.90,0.18,Normal
2024-03-01 03:00:00,SNSR-A1,24.5,58.3,1012.50,0.45,Warning
2024-03-01 04:00:00,SNSR-A1,27.8,62.1,1011.80,1.25,Critical
2024-03-01 05:00:00,SNSR-A1,26.2,60.5,1012.10,0.85,Warning
2024-03-01 06:00:00,SNSR-A1,23.4,56.7,1012.80,0.22,Normal
2024-03-01 07:00:00,SNSR-A1,22.9,55.0,1013.10,0.15,Normal
2024-03-01 08:00:00,SNSR-A1,23.0,54.2,1013.30,0.13,Normal
2024-03-01 09:00:00,SNSR-A1,23.5,55.8,1013.00,0.19,Normal
